"name","yrnom","posit","recess","success","id","analu","seatid","spaethid","zukid","birdate","biryear","birthcit","birthst","childcit","childst","childsur","famses","famjud","nomrelig","natorig","race","gender","mothname","fathname","fathoccu","fathpol","fathpoln","undsch","undsta","unddat","undschn","gradsch","gradsta","graddat","gradschn","lawsch","lawsta","lawdat","lawschn","read","readst","readyr","readn","marryn","spouse","marryr","child","militbr","milityr1","milityr2","militran","militwar","clerkj","clerkyr1","clerkyr2","barst1","baryr1","barst2","baryr2","barst3","baryr3","privtyp1","privst1","privyrf1","privyrl1","privtyp2","privst2","privyrf2","privyrl2","schname1","schrank1","schyrf1","schyrl1","schname2","schrank2","schyrf2","schyrl2","schn","schcon","sttrist","sttriyr1","sttriyr2","stapst","stapyr1","stapyr2","stsupst","stsupyr1","stsupyr2","feddist","feddi","feddiyr1","feddiyr2","fedca","fedcayr1","fedcayr2","usasat","usasat1","usasat2","usat","usat1","usat2","ussgo1","ussgo2","ussg1","ussg2","usago1","usago2","usag1","usag2","uscab","uscab1","uscab2","ussec","ussec1","ussec2","usage","usage1","usage2","usagh","usagh1","usagh2","uspres1","uspres2","ushr1","ushryrf1","ushryrl1","ushr2","ushryrf2","ushryrl2","ussn1","ussnyrf1","ussnyrl1","ussn2","ussnyrf2","ussnyrl2","conconv","concong","concong1","concong2","artcon","artcon1","artcon2","artconsp","citat","citat1","citat2","cdep","cdep1","cdep2","cdis","cdis1","cdis2","saag","saag1","saag2","stag","stag1","stag2","ltgov","ltgov1","ltgov2","gov","gov1","gov2","stcab","stcab1","stcab2","mayor","mayor1","mayor2","stsenate","stsen1","stsen2","sthouse","sthse1","sthse2","ctycl","ctycl1","ctycl2","commsn","commsn1","commsn2","datenom","datesen","judnom","usjnom","stjnom","prsznom","prstnom","prposnom","prschnom","govatnom","uslenom","uslesnom","stlenom","stlesnom","stexpnom","stexsnom","usexnom","yrposnom","agenom","stnom","parnom","prparnom","prdssr","presname","prespart","nompres","socpres","econpres","congress","senparty","nomsen","ideo","mednmq1","medmq1","mednmq2","medmq2","qual","abarate","abavote","heardate","heardays","comdvote","comvote","intpro","intanti","sendate","senact","sensupp","senopp","serve","withdraw","dateserb","npart","nops","judgment","ndis","nconr","ncons","percrim","ncrim","percr","ncr","perfir","nfir","perunn","nunn","perecon","necon","perfed","nfed","perftax","nftax","datesere","agedep","reasdep","postdep","scssr","deathd","deathcit","deathst","deathag"
"Jay, John",1789,0,0,1,1,1,"01.01",1,"888","12/12/1745",1745,282,32,287,32,1,5,0,6,12,0,0,"Cortlandt, Mary Van","Jay, Peter",24,888,888,24,2,1764,1,888,888,888,888,888,888,888,888,"Kissam, Benjamin",32,1768,1,1,"Livingston, Sarah Van Brugh",1774,7,14,1776,1778,3,1,888,888,888,32,1768,888,888,888,888,3,32,1768,1774,777,777,777,777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1777,1778,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,23,1784,1789,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,32,1774,1779,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"09/24/1789","09/24/1789",888,888,888,888,888,888,888,888,888,888,888,888,888,888,6,5,43,32,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","10/19/1789",5,4,0,0,0,0,77777,0,77777,0,77777,0,77777,0,77777,0,1,1,77777,0,"06/29/1795",49,10,3,"Ellsworth, Oliver","05/17/1829",270,32,83
"Rutledge, John",1789,1,0,1,2,1,"02.01",2,"888","09/18/1739",1739,349,40,349,40,5,5,0,6,8,0,0,"Hext, Sarah","Rutledge, John",26,888,888,888,888,888,888,888,888,888,888,70,1,1760,1,"Parson, James",40,1757,2,1,"Grimke, Elizabeth",1763,10,888,888,888,888,888,888,888,888,54,1760,888,888,888,888,1,40,1761,1774,777,777,777,777,888,888,888,888,888,888,888,888,888,888,40,1784,1790,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,40,1774,1776,40,1782,1783,0,888,888,888,888,888,888,888,888,888,888,888,888,40,1764,1765,888,888,888,40,1779,1782,888,888,888,888,888,888,888,888,888,40,1761,1778,888,888,888,14,1788,1788,"09/24/1789","09/24/1789",8,888,40,888,888,888,888,888,888,888,888,888,888,888,888,5,50,40,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","02/15/1790",0,0,0,0,0,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,"03/05/1791",51,10,6,"Johnson, Thomas","07/18/1800",349,40,60
"Cushing, William",1789,1,0,1,3,1,"03.01",3,"888","03/01/1732",1732,190,21,190,21,3,5,1,3,4,0,0,"Cotton, Mary","Cushing, John",20,10,1,47,2,1751,1,888,888,888,888,888,888,888,888,"Gridley, Jeremiah",21,1755,1,1,"Phillips, Hannah",1774,0,888,888,888,888,888,888,888,888,21,1755,888,888,888,888,1,21,1758,1760,1,19,1760,1771,888,888,888,888,888,888,888,888,888,888,21,1772,1777,888,888,888,21,1777,1789,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,18,1779,1779,"09/24/1789","09/24/1789",6,888,21,888,888,888,888,888,888,888,888,888,888,888,888,9,57,21,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","02/02/1790",155,15,0,4,0,0,0.666666686534882,6,0.636363625526428,11,77777,0,77777,0,0.607142925262451,28,0.800000011920929,5,0.25,8,"09/13/1810",78,3,777,"Story, Joseph","09/13/1810",190,21,78
"Harrison, Robert H.",1789,1,0,0,4,1,"06.01",888,"888","999. UNKNOWN",1745,164,20,164,20,2,5,0,2,4,0,0,"Hanson, Dorothy","Harrison, Richard",19,999,999,888,888,888,888,888,888,888,888,888,888,888,888,"999. UNKNOWN",999,999,999,2,"Dent, Grace",999,2,5,1775,1781,9,1,888,888,888,20,999,46,999,888,888,1,46,1769,1775,777,777,777,777,888,888,888,888,888,888,888,888,888,888,20,1781,1789,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,20,1781,999,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"09/24/1789","09/24/1789",8,888,20,888,888,888,888,888,888,888,888,888,888,888,888,8,44,20,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,2,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","04/02/1790",164,20,45
"Wilson, James",1789,1,0,1,5,1,"04.01",4,"888","09/14/1742",1742,540,58,999,58,2,1,0,6,19,0,0,"Lansdale, Alison","Wilson, William",38,888,888,89,1,1760,1,888,888,888,888,888,888,888,888,"Dickinson, John",38,1767,1,2,"Gray, Hannah",1793,7,888,888,888,888,888,888,888,888,38,1767,888,888,888,888,1,38,1768,1770,1,38,1778,1789,84,7,1789,1790,777,777,777,777,1,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,38,1775,1777,38,1783,1787,1,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,21,1787,1787,"09/24/1789","09/24/1789",888,888,888,1,38,888,888,888,888,888,888,888,888,888,888,21,47,38,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","10/05/1789",17,4,0,1,0,0,0,1,1,1,77777,0,77777,0,0.5,2,1,2,1,1,"08/21/1798",55,3,777,"Washington, Bushrod","08/21/1798",298,33,55
"Blair, John, Jr.",1789,1,0,1,6,1,"05.01",5,"888","999. UNKNOWN",1732,399,46,399,46,6,5,0,6,22,0,0,"Monro, Mary","Blair, John",28,11,3,114,2,1754,1,888,888,888,888,70,1,1756,1,"888. NOMINEE DID NOT READ LAW",888,888,888,1,"Balfour, Jean",1756,999,888,888,888,888,888,888,888,888,46,1756,888,888,888,888,1,46,1756,1777,777,777,777,777,888,888,888,888,888,888,888,888,888,888,46,1777,1779,888,888,888,46,1780,1789,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,46,1776,1778,888,888,888,888,888,888,46,1766,1770,888,888,888,9,1776,1776,"09/24/1789","09/24/1789",6,888,46,888,888,888,888,888,888,888,888,888,888,888,888,9,57,46,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"09/26/1789",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","02/02/1790",5,3,0,1,0,0,77777,0,77777,0,77777,0,77777,0,77777,0,1,1,77777,0,"01/27/1796",64,2,777,"Chase, Samuel","08/31/1800",399,46,68
"Iredell, James",1790,1,0,1,7,1,"06.02",6,"888","10/05/1751",1751,513,54,541,54,5,3,0,6,7,0,0,"McCulloch, Margaret","Iredell, Francis",24,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Johnston, Samuel",33,1770,1,1,"Johnston, Hannah",1773,3,888,888,888,888,888,888,888,888,33,1770,888,888,888,888,1,33,1770,1777,1,33,1782,1790,888,888,888,888,888,888,888,888,888,888,33,1777,1778,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,2,1768,1776,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,33,1779,1781,888,888,888,888,888,888,33,1787,1787,888,888,888,888,888,888,888,888,888,888,888,888,11,1788,1788,"02/08/1790","02/09/1790",888,888,888,1,33,888,888,888,888,888,888,888,888,888,888,8,38,33,3,888,"ORIGINAL NOMINATION",1,3,888,888,888,1,3,0.231499999761581,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"02/10/1790",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","05/12/1790",23,3,0,4,1,2,0,2,1,2,77777,0,77777,0,0.5,2,0.5,2,1,1,"10/20/1799",48,3,777,"Moore, Alfred","10/20/1799",298,33,48
"Johnson, Thomas",1791,1,1,888,8,1,"02.02",7,"888","11/04/1732",1732,162,20,162,20,6,5,0,6,4,0,0,"Sedgwick, Dorcas","Johnson, Thomas",28,11,1,888,888,888,888,888,888,888,888,888,888,888,888,"Bordley, Stephen",20,1760,1,1,"Jennings, Ann",1766,8,9,1776,1777,1,1,888,888,888,20,1760,888,888,888,888,1,20,1760,1776,777,777,777,777,888,888,888,888,888,888,888,888,888,888,20,1790,1791,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,20,1774,1777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,20,1777,1779,888,888,888,888,888,888,888,888,888,20,1780,1782,888,888,888,19,1776,1776,"08/05/1791","RECESS APPT",8,888,20,888,888,888,888,888,888,888,888,888,888,888,888,1,58,20,3,888,"Rutledge, John",1,3,888,888,888,2,3,0.122000001370907,888,888,888,888,888,777,777,777,"777. RECESS APPOINTMENT",777,"777. RECESS APPOINTMENT",777,777,777,"777. RECESS APPT",777,777,777,777,"777. RECESS APPOINTMENT","09/19/1791",1,0,0,1,0,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,"08/06/1792",59,13,9,"666. RECESS APPOINTEE REPLACED HIMSELF","10/26/1819",165,20,86
"Johnson, Thomas",1791,1,0,1,9,2,"02.03",7,"888","11/04/1732",1732,162,20,162,20,6,5,0,6,4,0,0,"Sedgwick, Dorcas","Johnson, Thomas",28,11,1,888,888,888,888,888,888,888,888,888,888,888,888,"Bordley, Stephen",20,1760,1,1,"Jennings, Ann",1766,8,9,1776,1777,1,1,888,888,888,20,1760,888,888,888,888,1,20,1760,1776,777,777,777,777,888,888,888,888,888,888,888,888,888,888,20,1790,1791,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,20,1774,1777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,20,1777,1779,888,888,888,888,888,888,888,888,888,20,1780,1782,888,888,888,19,1776,1776,"10/31/1791","11/01/1791",9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,58,20,3,888,"Rutledge, John",1,3,888,888,888,2,3,0.122000001370907,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"11/07/1791",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","08/06/1792",1,0,0,1,0,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,77777,0,"01/16/1793",60,2,777,"Paterson, William","10/26/1819",165,20,86
"Paterson, William",1793,1,0,0,10,1,"02.04",8,"888","12/24/1745",1745,530,55,258,30,3,4,0,10,22,0,0,"Mary","Paterson, Richard",23,888,888,85,2,1763,1,85,2,1776,1,888,888,888,888,"Stockton, Richard",30,1769,1,2,"White, Euphemia",1785,3,11,1776,1778,13,1,888,888,888,30,1769,888,888,888,888,1,30,1769,1776,1,30,1783,1788,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,30,1789,1790,777,777,777,1,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,30,1776,1783,888,888,888,30,1790,1793,888,888,888,888,888,888,888,888,888,30,1775,1776,888,888,888,13,1776,1776,"02/27/1793","02/27/1793",888,888,888,888,888,888,888,888,888,888,888,888,1,30,888,3,47,30,3,888,"Johnson, Thomas",1,3,888,888,888,2,3,0.122000001370907,888,888,888,888,888,888,888,888,"999. PREDATE",999,"999. PREDATE",999,888,888,"888. NO RECORD OF ACTION",888,888,888,4,"02/28/1793","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","09/09/1806",268,32,60
